run_id,wave_group,wave_id,brake_id
0076,G2,W2,Fail-2
0077,G2,W2,Fail-3
0078,G2,W2,Fail-3
0079,G2,W2,Fail-3
0080,G2,W2,Fail-3
0081,G2,W2,No_Fail-1
0082,G2,W2,No_Fail-1
0083,G2,W2,No_Fail-1
0084,G2,W2,No_Fail-2
0085,G2,W2,No_Fail-2
0086,G2,W2,No_Fail-2
0087,G2,W2,No_Fail-3
0088,G2,W2,No_Fail-3
0089,G2,W2,No_Fail-4
0090,G2,W2,No_Fail-4
0091,G2,W3,Fail-1
0092,G2,W3,Fail-1
0093,G2,W3,Fail-1
0094,G2,W3,Fail-2
0095,G2,W3,Fail-2
0096,G2,W3,Fail-2
0097,G2,W3,Fail-3
0098,G2,W3,Fail-3
0099,G2,W3,Fail-3
0100,G2,W3,Fail-4
0101,G2,W3,Fail-4
0102,G2,W3,Fail-4
0103,G2,W3,No_Fail-1
0104,G2,W3,No_Fail-1
0105,G2,W3,No_Fail-1
0106,G2,W3,No_Fail-2
0107,G2,W3,No_Fail-2
0108,G2,W3,No_Fail-2
0109,G2,W3,No_Fail-3
0110,G2,W3,No_Fail-3
0111,G2,W4-A,Fail-1
0112,G2,W4-A,Fail-1
0113,G2,W4-A,Fail-1
0114,G2,W4-A,Fail-2
0115,G2,W4-A,Fail-2
0116,G2,W4-A,Fail-2
0117,G2,W4-A,Fail-3
0118,G2,W4-A,Fail-3
0119,G2,W4-A,Fail-3
0120,G2,W4-A,Fail-4
0121,G2,W4-A,Fail-4
0122,G2,W4-A,Fail-4
0123,G2,W4-A,No_Fail-1
0124,G2,W4-A,No_Fail-1
0125,G2,W4-A,No_Fail-1
0126,G2,W4-A,No_Fail-2
0127,G2,W4-A,No_Fail-2
0128,G2,W4-A,No_Fail-2
0129,G2,W4-A,No_Fail-3
0130,G2,W4-A,No_Fail-3
0131,G2,W4-B,Fail-1
0132,G2,W4-B,Fail-1
0133,G2,W4-B,Fail-1
0134,G2,W4-B,Fail-2
0135,G2,W4-B,Fail-2
0136,G2,W4-B,Fail-2
0137,G2,W4-B,Fail-3
0138,G2,W4-B,Fail-3
0139,G2,W4-B,Fail-3
0140,G2,W4-B,Fail-4
0141,G2,W4-B,Fail-4
0142,G2,W4-B,Fail-4
0143,G2,W4-B,No_Fail-1
0144,G2,W4-B,No_Fail-1
0145,G2,W4-B,No_Fail-1
0146,G2,W4-B,No_Fail-2
0147,G2,W4-B,No_Fail-2
0148,G2,W4-B,No_Fail-2
0149,G2,W4-B,No_Fail-3
0150,G2,W4-B,No_Fail-3
0151,G2,W4-C,Fail-1
0152,G2,W4-C,Fail-1
0153,G2,W4-C,Fail-1
0154,G2,W4-C,Fail-2
0155,G2,W4-C,Fail-2
0156,G2,W4-C,Fail-2
0157,G2,W4-C,Fail-3
0158,G2,W4-C,Fail-3
0159,G2,W4-C,Fail-3
0160,G2,W4-C,Fail-4
0161,G2,W4-C,Fail-4
0162,G2,W4-C,Fail-4
0163,G2,W4-C,No_Fail-1
0164,G2,W4-C,No_Fail-1
0165,G2,W4-C,No_Fail-1
0166,G2,W4-C,No_Fail-2
0167,G2,W4-C,No_Fail-2
0168,G2,W4-C,No_Fail-2
0169,G2,W4-C,No_Fail-3
0170,G2,W4-C,No_Fail-3
